Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2000-01-03,91.36753845214844,93.13442252191496,90.38593619116705,93.13442252191496,8164300
2000-01-04,87.79448699951172,90.5037086466344,87.72577485628759,90.16996395097435,8089800
2000-01-05,87.9515609741211,88.91353117227555,86.22394102641515,87.91229688440052,12177900
2000-01-06,86.53805541992188,88.89390084877638,86.53805541992188,87.71597813434913,6227200
2000-01-07,91.56383514404297,91.56383514404297,87.99080384125226,88.14786016225405,8066500
2000-01-10,91.87797546386719,92.29024843069223,91.11232566833496,91.87797546386719,5741700
2000-01-11,90.77855682373047,91.77979090634516,90.15033151699186,91.60310253882491,7503700
2000-01-12,89.87555694580078,90.83752773879866,89.75776460380105,90.83752773879866,6907700
2000-01-13,91.09269714355469,91.563866266711,90.0129345696548,90.75895234798563,5158300
2000-01-14,92.32954406738281,92.64365691132883,91.70131837949079,92.05469532893005,7437300
2000-01-18,91.60311889648438,92.11355204935806,91.21047800965847,91.30863823136495,6488500
2000-01-19,92.34915924072266,92.34915924072264,91.09270809459036,91.28902858617353,6157900
2000-01-20,90.93561553955078,92.32949047549813,90.34665429900966,92.32949047549813,5800100
2000-01-21,90.73933410644531,91.4068237991366,90.50374950902486,91.4068237991366,6244800
2000-01-24,88.16748809814453,91.62272699934101,87.57852692180421,91.50493476407296,7896900
2000-01-25,89.16869354248047,89.16869354248047,87.32328244758985,88.27543604442171,9942500
2000-01-26,88.4620132446289,88.92336639847906,88.01047611532876,88.57980553922894,5158100
2000-01-27,88.10863494873047,89.34545402220864,86.77365563132547,89.10986943678422,10922700
2000-01-28,85.360107421875,87.99080070488587,85.144154988195,87.59815991637679,11916200
2000-01-31,87.67676544189453,87.74547764051671,84.8104851565124,85.32091863199142,10768700
2000-02-01,88.54052734375,89.01169644713137,87.02885980373475,87.79450959672948,8419900
2000-02-02,88.61903381347656,89.36505137770168,88.18712890787256,88.7564581016233,6205900
2000-02-03,89.95401763916016,89.99328172368183,87.95154932855468,88.50124651185814,7997500
2000-02-04,89.58103942871094,90.46448163214991,89.28655869423129,89.95404835905184,4925400
2000-02-07,89.44356536865234,89.69878186333902,88.85460422706771,89.56135759696927,5845800
2000-02-08,90.6607894897461,90.81784585958542,90.22888447268797,90.44483698121704,4936400
2000-02-09,88.75648498535156,90.75895379059506,88.74666896179644,90.75895379059506,8511500
2000-02-10,88.93314361572266,89.56136891278737,88.50123872399067,88.9724076967892,6690600
2000-02-11,87.12702178955078,89.16875461201884,86.71474881578318,89.10985847290918,9849800
2000-02-14,87.637451171875,87.81413958149571,86.89143344236531,87.81413958149571,8528800
2000-02-15,88.62883758544922,88.71718175847712,86.5674735481312,87.48036333608633,11078300
2000-02-16,87.32333374023438,88.54052049650562,87.19572545127045,88.18714369629784,8845400
2000-02-17,86.87179565429688,88.22640670517744,86.83253156586555,88.22640670517744,7584200
2000-02-18,85.00675964355469,87.24481289975913,84.57485462919945,87.24481289975913,9409200
2000-02-22,84.79078674316406,85.6545965641178,83.88771283943969,84.92821103286124,16415400
2000-02-23,85.79204559326172,86.36137495761061,84.49633048819187,85.20308418186633,12119000
2000-02-24,84.06442260742188,86.08652338476061,83.61288554063749,85.87057087455939,17375000
2000-02-25,83.7601318359375,85.89020901962417,83.63252352539405,84.92823867860439,10559900
2000-02-28,85.51718139648438,85.87055817911448,83.37728865722433,83.78956157029278,13397800
2000-02-29,86.34172821044922,86.34172821044922,85.28159785043006,85.47791828747066,8242500
2000-03-01,86.9699478149414,87.3233245780721,86.2042981614916,86.45951471264154,6868000
2000-03-02,87.02884674072266,87.40185555824436,86.28282910567924,87.12700695585994,7600200
2000-03-03,88.65828704833984,89.03129578481426,87.77484530405833,88.22638219557999,12770300
2000-03-06,87.79448699951172,88.79572108649184,87.16626169003399,88.4619763908318,11967100
2000-03-07,86.09632110595703,88.04970930571595,84.94784663675205,87.95154909467279,20062000
2000-03-08,85.98831176757812,86.59690484173223,84.83002172322034,85.73309531712641,11808500
2000-03-09,88.50122833251953,88.50122833251953,85.51715852184007,86.22391189805363,5500900
2000-03-10,88.03009796142578,89.2080207709007,87.65708907175872,88.06936205507495,7924600
2000-03-13,87.0681381225586,88.24606107348386,85.24235754862445,85.87058312245125,10540500
2000-03-14,85.8313217163086,88.0104792438727,85.53684096934047,87.50004594912795,8263900
2000-03-15,87.83375549316406,88.22639633130963,85.47791046429064,85.98834355387989,10300800
2000-03-16,91.93690490722656,92.25101775764631,88.5012956057607,88.97246488139031,25601400
2000-03-17,92.54451751708984,93.21370373478041,91.5997840332914,91.835967404241,10272900
2000-03-20,92.07212829589844,92.80036017852953,91.18644087107684,92.50513103692232,12502300
2000-03-21,93.9615707397461,94.31584561894915,91.00928007972055,91.65878402492618,13612600
2000-03-22,94.53240966796875,95.00477648704667,93.64672188219765,94.19781650445523,8260000
2000-03-23,96.14627075195312,96.65800115923066,93.94189361291141,93.94189361291141,11654500
2000-03-24,96.71699523925781,98.09473021417601,95.5557614746839,96.28399281856923,11462900
2000-03-27,95.69356536865234,96.8547995020852,95.6148376307925,96.59893435404067,8798600
2000-03-28,95.14250183105469,96.35294119030374,94.84727271904273,95.26059347585948,6334400
2000-03-29,95.24092102050781,96.03803970232855,94.25682388245751,95.45742239087888,6747500
2000-03-30,93.64665985107422,95.68374040899481,92.66256296318987,94.57171092568551,9491900
2000-03-31,94.7094955444336,95.92977582784069,93.48921526102652,94.23712898311473,9249100
2000-04-03,95.26056671142578,95.2605667114258,93.64664801920742,94.55201704167138,8508200
2000-04-04,94.552001953125,96.36273970909659,89.0509019227548,95.57546242389155,19585500
2000-04-05,93.9615707397461,94.98503150188829,92.97747385307092,93.13492935493895,8387200
2000-04-06,94.77838897705078,95.53614372227277,93.84349675891977,94.63077441629325,6378500
2000-04-07,95.37866973876953,95.81167236655594,94.78821160996989,95.45739748927616,6023600
2000-04-10,95.00470733642578,96.43164773043674,94.6701144164508,95.57548349403017,9624200
2000-04-11,94.72917175292969,95.49676736862973,93.44984572676297,94.47330654769635,9006400
2000-04-12,92.13115692138672,95.20153942079631,92.0524291649916,94.70949094332683,10779200
2000-04-13,90.8518295288086,93.31207187956706,90.55660044671758,92.87906922583356,12225800
2000-04-14,85.6557846069336,89.94644661160076,84.08122974283555,89.82835499679341,29604000
2000-04-17,88.64743041992188,88.64743041992188,84.82913523753625,85.14404618041343,23918200
2000-04-18,90.98960876464844,90.98960876464844,88.03731775995512,88.52936626073733,11069200
2000-04-19,90.1433334350586,91.40297826908561,89.76937637495682,91.00933925845217,6553700
2000-04-20,90.57627868652344,90.65500643853258,89.67090953841824,90.41882318250514,8537600
2000-04-24,89.59217834472656,90.26136421109754,88.48998985893907,89.11981185081764,12893100
2000-04-25,93.31210327148438,93.31210327148438,90.96995176561923,91.08804343818386,14102000
2000-04-26,92.25907135009766,93.68601165364582,91.95400135416666,93.19396327311198,7711100
2000-04-27,91.9540023803711,92.80032560433428,90.0645365780347,90.0645365780347,15595300
2000-04-28,91.38323211669922,93.12508351500374,91.3635501799952,92.58383025564358,8743400
2000-05-01,92.6231918334961,93.51871993133376,91.8555963210638,92.3082808540367,7328300
2000-05-02,90.77308654785156,92.6625523563064,90.77308654785156,91.63909171006003,9411900
2000-05-03,88.64743041992188,90.69435154862344,88.03729046809737,90.69435154862344,12630700
2000-05-04,89.31664276123047,89.66107670753314,88.64745680841384,89.4347343999628,5963600
2000-05-05,90.39915466308594,90.69438377694317,88.76555356640922,88.8442813301045,7862400
2000-05-08,89.7201156616211,90.30073284096031,89.33631786510873,89.9070940753066,5064100
2000-05-09,89.00171661376953,90.320406355725,88.34237174279181,90.10390505480693,5620300
2000-05-10,86.99418640136719,88.78524318021887,86.75800308987027,88.49001404084771,10293900
2000-05-11,88.98206329345703,89.11983689289393,87.62400924186478,88.25383141071916,7091100
2000-05-12,89.94647216796875,90.35979293723075,89.19855839501847,89.31665004337903,5960800
2000-05-15,91.50132751464844,91.7079878585727,89.43472407540601,89.90709057580428,4441300
2000-05-16,92.38705444335938,93.03655866079245,91.52104882011527,92.30832665942809,8192200
2000-05-17,91.42259216308594,92.07209604712939,90.98958957372363,91.75718507304772,5907200
2000-05-18,90.30077362060547,92.15087665468064,90.30077362060547,91.71787381691837,4325600
2000-05-19,88.88361358642578,90.21214412608117,88.43092910624691,89.78898254678353,6518400
2000-05-22,88.21444702148438,89.10013424057558,86.28561707768574,88.96236067316138,10839400
2000-05-23,86.91542053222656,88.68679459198661,86.63987345626389,88.4506113840186,7979200
2000-05-24,88.33256530761719,88.60811252559995,85.97073201062207,86.91546532942012,11081500
2000-05-25,86.8170166015625,89.31662238446852,86.7382888603686,88.6080727137235,8278900
2000-05-26,86.91542053222656,87.97824496808259,86.49225895128387,87.42715081615724,4814000
2000-05-30,89.74964141845703,90.02518856316281,87.84049334442406,88.17508630585252,5362700
2000-05-31,89.94647216796875,90.69438594091903,89.49378751591989,89.78901663682132,6056500
2000-06-01,91.52100372314453,91.59973146828273,90.06454043808804,90.49754303634809,8961600
2000-06-02,93.11524963378906,93.90252716187014,92.88890734446575,93.80411747085999,8962200
2000-06-05,92.66255950927734,93.35142730511946,92.50510401308486,92.87906081654201,6998100
2000-06-06,92.24925231933594,93.07589379520795,91.89497740110507,92.3476620188445,4858900
2000-06-07,92.88890838623047,93.21366037020607,91.95401631114923,92.3476550796045,4919500
2000-06-08,92.52481079101562,93.05622323333799,91.99339834869326,92.8987676948721,5723100
2000-06-09,92.3280258178711,93.19403160256228,91.71788537865685,92.8988023577812,3085300
2000-06-12,91.24546813964844,92.56415803726631,91.24546813964844,92.56415803726631,3678900
2000-06-13,92.9577865600586,93.05619624305676,91.08800258309363,91.20609420269142,6558700
2000-06-14,93.11524963378906,93.76475359445594,92.70192893154649,93.37111483041541,6420500
2000-06-15,93.31210327148438,93.68606023460569,92.48546156353197,93.29242132605692,5881200
2000-06-16,92.54537200927734,93.63042753272869,92.09162151765224,93.63042753272869,5567900
2000-06-19,93.72905731201172,94.16307946752934,92.32834944647755,92.46644740505134,5106900
2000-06-20,93.39366149902344,93.98550979749633,92.80181320055054,93.55148771194953,6480000
2000-06-21,93.3542251586914,93.70933421466276,92.73278431074154,92.76237673207248,3115000
2000-06-22,91.93379974365234,93.23586643530065,91.5392340795165,93.15695330247348,7490500
2000-06-23,91.14463806152344,92.24942155317827,90.82898563533634,92.05213878681134,4863300
2000-06-26,92.31849670410156,92.3283608452175,91.4603164270146,91.77596894272475,5201300
2000-06-27,91.63785552978516,92.62426947520804,91.54907827469711,92.16065492085929,4159500
